-31.722,-1.312,0.385947,-0.378581,0.0453779,-0.41323,0.149987,-0.0476705,0.296844,-0.0441291,-0.220293,0.107113,-0.053628,0.49508,-0.123771,-0.107842,0.163109,0.0610057,0.187451,-0.0901016
-30.6873,-0.9975,-0.00287015,-0.0732753,-0.645229,-0.757523,0.448154,0.00966556,0.338376,0.297584,0.34651,0.0449697,-0.0640114,-0.0162133,-0.0661088,0.100908,-0.0644631,0.220943,0.207696,0.201681
-32.4628,-0.32035,-0.188209,-0.181313,-1.18029,-1.31817,0.688278,0.0342305,0.309943,0.231825,0.406886,-0.056976,-0.556343,-0.0192186,-0.423257,0.221015,-0.0373757,0.0950091,0.258204,0.106972
-30.0973,0.655753,0.334946,0.154209,-0.647612,-0.346221,0.533798,-0.547442,-0.391325,-0.311466,-0.483576,-0.179567,0.0306994,0.544318,0.434392,0.328418,-0.129299,-0.210931,0.0895952,-0.0844321
-30.937,1.11703,0.998749,0.2749,-0.382979,-0.0342381,0.562921,-0.821144,-0.139118,-0.0196172,-0.412629,0.279011,0.229294,-0.18004,-0.19155,0.270752,0.168554,0.179656,0.251777,0.197268
-28.2619,1.52233,0.860289,-0.0515462,0.316443,0.26426,0.16275,-0.219598,0.0164751,0.0456203,0.380572,0.560589,-0.102564,-0.16847,-0.0724875,0.209948,0.187817,-0.0381301,0.155318,-0.248797
-26.2013,1.19184,0.282535,0.544467,0.128327,0.167394,0.277121,0.288494,0.455699,0.0885519,0.00467598,0.117517,-0.031421,-0.0216408,0.00607076,-0.0961589,0.170651,-0.048124,-0.0066377,0.054177
-24.7584,0.510746,0.045353,0.212855,0.464814,0.297698,0.326608,0.726726,0.25719,0.161881,-0.166301,-0.325131,0.143258,0.215165,0.238355,-0.0987816,-0.0794001,0.142968,-0.0116478,0.116918
-24.1834,0.698104,0.303232,0.358843,0.327015,0.431648,0.274807,0.0854538,0.350378,0.21379,-0.0504983,0.153818,0.342714,-0.021752,-0.0220026,-0.188836,0.24849,0.251643,-0.0886012,0.117716
-23.701,0.520344,-0.00839339,0.126025,0.253063,0.1752,0.227368,0.0854175,0.264501,0.0516311,0.053934,0.204172,0.20494,-0.0398128,0.191582,-0.0281311,-0.0621294,0.120599,-0.0400262,0.204606
-22.9954,0.693552,0.229194,0.493779,0.496262,0.472564,0.125399,0.247364,0.260212,0.116734,0.0522486,0.178823,0.0402379,-0.0644672,0.145793,-0.131666,-0.0601059,0.101092,-0.134881,0.197197
